"","easting","northing","pm25"
"332",1292160.94586164,210088.027634986,11.460345
"333",1417966.1605089,140887.006408107,4.605882
"334",635281.770680005,639589.052615453,8.031148
"335",594941.731323969,520079.022618254,8.376271
"336",655836.74512603,480082.586840593,9.7575
"337",424385.286108834,701973.973311731,6.74
"338",631826.863643978,473427.26962748,9.289474
"339",-735174.851563794,665264.841282836,2.462791
"340",-870739.669302394,644735.32669684,1.578378
"341",-731834.275651993,277552.226026645,3.961062
"342",-1055522.79581949,715647.217335997,1.65
"343",-1114532.8016176,525644.199779738,1.725
"344",-1107096.01299978,510098.055760697,1.622917
"345",-1138358.04570025,708181.421438702,1.454348
