"","V1","V2","V3"
"685",32.5,-75.5,0.144
"686",32.5,-74.5,0.141
"687",32.5,-73.5,0.136
"688",32.5,-72.5,0.129
"689",32.5,-71.5,0.123
"690",32.5,-70.5,0.126
"691",32.5,-69.5,0.126
"692",32.5,-68.5,0.122
"693",32.5,-67.5,0.126
"694",32.5,-66.5,0.13
"695",32.5,-65.5,0.127
"696",32.5,-64.5,0.131
"697",32.5,-63.5,0.13
"698",32.5,-62.5,0.134
"699",32.5,-61.5,0.13
"700",32.5,-60.5,0.133
"701",33.5,-129.5,0.119
"702",33.5,-128.5,0.114
"703",33.5,-127.5,0.123
"704",33.5,-126.5,0.123
"705",33.5,-125.5,0.119
"706",33.5,-124.5,0.123
"707",33.5,-123.5,0.115
"708",33.5,-122.5,0.112
"709",33.5,-121.5,0.143
"710",33.5,-120.5,0.117
"711",33.5,-119.5,0.108
"712",33.5,-118.5,0.183
"713",33.5,-117.5,0.081
"714",33.5,-116.5,0.043
"715",33.5,-115.5,0.164
"716",33.5,-114.5,0.266
"717",33.5,-113.5,0.296
"718",33.5,-112.5,0.254
"719",33.5,-111.5,0.172
"720",33.5,-110.5,0.119
"721",33.5,-109.5,0.103
"722",33.5,-108.5,0.085
"723",33.5,-107.5,0.154
"724",33.5,-106.5,0.187
"725",33.5,-105.5,0.109
"726",33.5,-104.5,0.175
"727",33.5,-103.5,0.084
"728",33.5,-102.5,0.06
"729",33.5,-101.5,0.069
"730",33.5,-100.5,0.07
"731",33.5,-99.5,0.058
"732",33.5,-98.5,0.047
"733",33.5,-97.5,0.061
"734",33.5,-96.5,0.068
"735",33.5,-95.5,0.057
"736",33.5,-94.5,0.058
"737",33.5,-93.5,0.053
"738",33.5,-92.5,0.056
"739",33.5,-91.5,0.077
"740",33.5,-90.5,0.118
"741",33.5,-89.5,0.057
"742",33.5,-88.5,0.069
"743",33.5,-87.5,0.06
"744",33.5,-86.5,0.055
"745",33.5,-85.5,0.045
"746",33.5,-84.5,0.072
"747",33.5,-83.5,0.065
"748",33.5,-82.5,0.056
"749",33.5,-81.5,0.05
"750",33.5,-80.5,0.061
"751",33.5,-79.5,0.07
"752",33.5,-78.5,0.13
"753",33.5,-77.5,0.138
"754",33.5,-76.5,0.136
"755",33.5,-75.5,0.14
"756",33.5,-74.5,0.142
"757",33.5,-73.5,0.149
"758",33.5,-72.5,0.144
"759",33.5,-71.5,0.134
"760",33.5,-70.5,0.132
"761",33.5,-69.5,0.129
"762",33.5,-68.5,0.136
"763",33.5,-67.5,0.135
"764",33.5,-66.5,0.136
"765",33.5,-65.5,0.135
"766",33.5,-64.5,0.134
"767",33.5,-63.5,0.137
"768",33.5,-62.5,0.138
"769",33.5,-61.5,0.141
"770",33.5,-60.5,0.139
"771",34.5,-129.5,0.12
"772",34.5,-128.5,0.122
"773",34.5,-127.5,0.125
"774",34.5,-126.5,0.122
"775",34.5,-125.5,0.128
"776",34.5,-124.5,0.131
"777",34.5,-123.5,0.126
"778",34.5,-122.5,0.126
"779",34.5,-121.5,0.119
"780",34.5,-120.5,0.065
"781",34.5,-119.5,0.046
"782",34.5,-118.5,0.071
"783",34.5,-117.5,0.136
"784",34.5,-116.5,0.145
"785",34.5,-115.5,0.295
"786",34.5,-114.5,0.297
"787",34.5,-113.5,0.177
"788",34.5,-112.5,0.111
"789",34.5,-111.5,0.098
"790",34.5,-110.5,0.07
"791",34.5,-109.5,0.146
"792",34.5,-108.5,0.119
"793",34.5,-107.5,0.142
"794",34.5,-106.5,0.108
"795",34.5,-105.5,0.075
"796",34.5,-104.5,0.089
"797",34.5,-103.5,0.09
"798",34.5,-102.5,0.079
"799",34.5,-101.5,0.083
"800",34.5,-100.5,0.067
"801",34.5,-99.5,0.064
"802",34.5,-98.5,0.055
"803",34.5,-97.5,0.05
"804",34.5,-96.5,0.05
"805",34.5,-95.5,0.054
"806",34.5,-94.5,0.057
"807",34.5,-93.5,0.055
"808",34.5,-92.5,0.068
"809",34.5,-91.5,0.1
"810",34.5,-90.5,0.103
"811",34.5,-89.5,0.054
"812",34.5,-88.5,0.063
"813",34.5,-87.5,0.064
"814",34.5,-86.5,0.063
"815",34.5,-85.5,0.064
"816",34.5,-84.5,0.069
"817",34.5,-83.5,0.076
"818",34.5,-82.5,0.058
"819",34.5,-81.5,0.054
"820",34.5,-80.5,0.065
"821",34.5,-79.5,0.065
"822",34.5,-78.5,0.062
"823",34.5,-77.5,0.09
"824",34.5,-76.5,0.127
"825",34.5,-75.5,0.135
"826",34.5,-74.5,0.136
"827",34.5,-73.5,0.147
"828",34.5,-72.5,0.145
"829",34.5,-71.5,0.14
"830",34.5,-70.5,0.137
"831",34.5,-69.5,0.132
"832",34.5,-68.5,0.139
"833",34.5,-67.5,0.135
"834",34.5,-66.5,0.137
"835",34.5,-65.5,0.134
"836",34.5,-64.5,0.141
"837",34.5,-63.5,0.137
"838",34.5,-62.5,0.135
"839",34.5,-61.5,0.141
"840",34.5,-60.5,0.145
"841",35.5,-129.5,0.123
"842",35.5,-128.5,0.123
"843",35.5,-127.5,0.125
"844",35.5,-126.5,0.127
"845",35.5,-125.5,0.131
"846",35.5,-124.5,0.132
"847",35.5,-123.5,0.132
"848",35.5,-122.5,0.132
"849",35.5,-121.5,0.085
"850",35.5,-120.5,0.033
"851",35.5,-119.5,0.107
"852",35.5,-118.5,0.058
"853",35.5,-117.5,0.348
"854",35.5,-116.5,0.376
"855",35.5,-115.5,0.29
"856",35.5,-114.5,0.282
"857",35.5,-113.5,0.116
"858",35.5,-112.5,0.095
"859",35.5,-111.5,0.146
"860",35.5,-110.5,0.183
"861",35.5,-109.5,0.102
"862",35.5,-108.5,0.071
"863",35.5,-107.5,0.11
